Sample,Site,Number,P_Glycogen_DW,Delta_Glycogen,Delta_Glycogen_log,ConditionIndex,Delta_CI,Delta_CI_log,Distal_Temperature,Distal_Salinity,Distal_pH,Distal_DO_mg,Distal_TA,Distal_pCO2,Distal_Omega_Ca,Proximal_Temperature,Proximal_Salinity,Proximal_pH,Proximal_DO_mg,Proximal_TA,Proximal_pCO2,Proximal_Omega_Ca
PR-2-13-G,Piankatank,2,12.56540263,-1.493912753,-0.035458819,4.570874867,-2.460328367,-0.181798585,26.03,8.633,7.52937852,6.665,1348.159,1386.63724,0.97195109,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
PR-2-14-G,Piankatank,2,17.39188315,3.332567768,0.105711381,4.179708872,-2.851494362,-0.220651884,26.03,8.633,7.52937852,6.665,1348.159,1386.63724,0.97195109,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
PR-2-15-G,Piankatank,2,14.31255094,0.253235558,0.021081818,4.742614157,-2.288589077,-0.165780124,26.03,8.633,7.52937852,6.665,1348.159,1386.63724,0.97195109,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
UC-2-01-G,Urbana Creek,3,6.497611481,-5.175135657,-0.209182636,5.445127617,-1.607219043,-0.110244739,24.75,9.065,7.7431076,6.5,1388.956,769.114421,1.03973365,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
UC-2-02-G,Urbana Creek,3,20.14379378,8.471046643,0.282204891,5.958264548,-1.094082112,-0.07113302,24.75,9.065,7.7431076,6.5,1388.956,769.114421,1.03973365,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
UC-2-03-G,Urbana Creek,3,7.854482329,-3.818264809,-0.126818809,6.356242321,-0.696104339,-0.043052356,24.75,9.065,7.7431076,6.5,1388.956,769.114421,1.03973365,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
UC-2-04-G,Urbana Creek,3,15.11674291,3.443995774,0.157521851,5.613160426,-1.439186234,-0.097045347,24.75,9.065,7.7431076,6.5,1388.956,769.114421,1.03973365,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
UC-2-05-G,Urbana Creek,3,5.131719432,-6.541027706,-0.311673472,8.163489118,1.111142459,0.065623016,24.75,9.065,7.7431076,6.5,1388.956,769.114421,1.03973365,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
UC-2-06-G,Urbana Creek,3,16.31099026,4.638243123,0.190543952,4.843585533,-2.208761127,-0.161085828,24.75,9.065,7.7431076,6.5,1388.956,769.114421,1.03973365,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
UC-2-07-G,Urbana Creek,3,18.95326021,7.280513068,0.255747549,4.751039916,-2.301306744,-0.169464123,24.75,9.065,7.7431076,6.5,1388.956,769.114421,1.03973365,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
VP-2-01-G,VIMS Pier,4,13.3145839,4.940151044,0.239256557,3.494490358,-0.699334242,-0.075644961,24.811,15.705,7.77930839,5.933,1570.918,783.812581,1.65038693,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
VP-2-02-G,VIMS Pier,4,7.486370822,-0.888062039,-0.010799706,6.439787267,2.245962667,0.189842713,24.811,15.705,7.77930839,5.933,1570.918,783.812581,1.65038693,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
VP-2-03-G,VIMS Pier,4,6.008350468,-2.366082393,-0.106315784,4.584317978,0.390493378,0.042245926,24.811,15.705,7.77930839,5.933,1570.918,783.812581,1.65038693,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
VP-2-04-G,VIMS Pier,4,10.36946755,1.995034691,0.130685416,5.166961589,0.973136989,0.094206425,24.811,15.705,7.77930839,5.933,1570.918,783.812581,1.65038693,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
VP-2-05-G,VIMS Pier,4,6.857850993,-1.516581868,-0.048882997,3.930620528,-0.263204072,-0.02456769,24.811,15.705,7.77930839,5.933,1570.918,783.812581,1.65038693,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
VP-2-06-G,VIMS Pier,4,12.27294392,3.898511061,0.203877708,4.638305941,0.444481341,0.047330583,24.811,15.705,7.77930839,5.933,1570.918,783.812581,1.65038693,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
VP-2-07-G,VIMS Pier,4,16.70545016,8.331017294,0.337787141,4.35969023,0.16586563,0.020426825,24.811,15.705,7.77930839,5.933,1570.918,783.812581,1.65038693,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
VP-2-08-G,VIMS Pier,4,51.95263861,43.57820575,0.830536568,5.030757302,0.836932702,0.082604558,24.811,15.705,7.77930839,5.933,1570.918,783.812581,1.65038693,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
VP-2-09-G,VIMS Pier,4,6.08085962,-2.293573241,-0.101106064,3.804071416,-0.389753184,-0.038780146,24.811,15.705,7.77930839,5.933,1570.918,783.812581,1.65038693,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
